factor,run_id,horizon_days,observations,rank_ic_mean,rank_ic_icir_annualized,rank_ic_positive_rate,rank_ic_nw_t_stat,rank_ic_nw_p_value,active_annualized_return,active_max_drawdown
Conversion premium,50aaf05db8a3247a,1,142,0.0053639706356236,0.1444792527503642,0.528169014084507,0.3929117970680377,0.6943846280883221,0.0134426528160211,-0.0227340229376473
Conversion premium,50aaf05db8a3247a,5,142,0.0255364987602126,0.5953184330737895,0.5492957746478874,1.4354895205647342,0.1511476524427671,0.0305309826135542,-0.0387066699111148
Conversion premium,50aaf05db8a3247a,10,141,0.0024779769892854,0.0598306185233721,0.4964539007092198,0.149232854165232,0.8813698963761121,0.0507385115945815,-0.0656144284569824
Double-low,771bf2ac8d3fc820,1,142,0.0410687144961905,1.3743857724695392,0.6197183098591549,2.6014580544804065,0.0092828416268491,0.0226752107569403,-0.0211162278273793
Double-low,771bf2ac8d3fc820,5,142,0.0589015343515175,1.7566125958181915,0.6056338028169014,4.690476096631451,2.725700719854725e-06,0.0538482830989708,-0.0411659135233574
Double-low,771bf2ac8d3fc820,10,141,0.0402412980878587,1.1368040775716852,0.6099290780141844,2.7105812587919704,0.0067165388813385,0.0790253099488342,-0.0556622601128126
Same-parity relative premium,3cec9ae7875eaa17,1,142,0.020921897392432,1.089136333649716,0.5422535211267606,2.271076728842771,0.0231423334715643,0.0003581113836066,-0.024754359761543
Same-parity relative premium,3cec9ae7875eaa17,5,142,0.0461612983781906,2.4273056969564606,0.6830985915492958,5.12085874782467,3.041474099710703e-07,0.0165963311980923,-0.0338275066996697
Same-parity relative premium,3cec9ae7875eaa17,10,141,0.0350900892252242,1.6551462174470073,0.624113475177305,3.4808429644539154,0.00049983844918,0.0225579528891977,-0.0581873014517477
Underlying-stock momentum,d8071264782675c0,1,136,0.0127428334484602,0.5957392677107817,0.5367647058823529,1.6246683895955811,0.1042332362666611,0.0002400029348232,-0.0253939957584551
Underlying-stock momentum,d8071264782675c0,5,136,0.0335210617070702,1.7176746605599118,0.6470588235294118,3.497330684474986,0.00046993891464,0.0287295203198174,-0.0434405636982108
Underlying-stock momentum,d8071264782675c0,10,135,0.0396097351437533,2.1023216794933774,0.6666666666666666,4.3633585586042285,1.2808076134815303e-05,0.066755706656455,-0.063454166326773
CB return reversal,d43916ad789af61d,1,140,0.0069269513746167,0.1793209711097529,0.5357142857142857,0.4184816933541965,0.6755949684818663,-0.0047903525355826,-0.0472656298563884
CB return reversal,d43916ad789af61d,5,140,0.0092457085176151,0.2434138090057459,0.5357142857142857,0.599631285386341,0.5487519922392409,-0.0221909139598336,-0.1394144806337514
CB return reversal,d43916ad789af61d,10,139,0.0123192797113553,0.3312169164114632,0.4892086330935252,0.7758591982186164,0.4378321260688076,-0.0383278978485106,-0.2394240849679679
Abnormal-turnover reversal,39f87f65e1498e88,1,141,-0.0342994326412046,-1.4880973433582725,0.3617021276595745,-3.690909805382564,0.0002234533679515,-0.0179584399769875,-0.1067050497513074
Abnormal-turnover reversal,39f87f65e1498e88,5,141,-0.0416532902147664,-1.863542121962494,0.3617021276595745,-4.170439286203007,3.0401304412018073e-05,-0.032876913135956,-0.185870841829007
Abnormal-turnover reversal,39f87f65e1498e88,10,140,-0.0415805381747146,-2.0891581084648356,0.3785714285714285,-5.767410304703848,8.049890290551828e-09,-0.03020127793001,-0.1920878876824785
